Gesture,Ax,Ay,Az,Gx,Gy,Gz
0,0.327250071,0.972020405,0.978133435,0.972500175,0.28257653,0.55144571
0,0.323263729,0.97882381,0.978573822,0.968821109,0.297214042,0.549468071
0,0.331778993,0.970410968,0.978970455,0.970300503,0.260290426,0.551672545
0,0.313127851,0.981824902,0.978850495,0.968926141,0.284897314,0.547513107
0,0.222645379,0.968424901,0.9790107,0.969466054,0.267590756,0.550981445
0,0.05919798,0.987306309,0.979861223,0.964983365,0.275739229,0.503632648
0,0.378752579,0.971780693,0.980621623,0.968971654,0,0.551848305
0,0.368269615,0.979559952,0.978186262,0.968941319,0.285519006,0.55046671
0,0.683157108,0.995423527,0.980715068,0.968788119,0.200031031,0.55075895
0,0.324462892,0.980651097,0.97876559,0.9688347,0.141387928,0.549841628
0,0.382519293,0.988572907,0.979419809,0.968812537,0.233455524,0.551640045
0,0.430902959,0.984920636,0.978614147,0.968914322,0.258226712,0.551043255
0,0.385526797,0.970274652,0.978808527,0.969111116,0.179664226,0.551312267
0,0.471890359,0.972247559,0.979254427,0.968127359,0.284318089,0.550682885
0,0.375777106,0.981537451,0.979236507,0.968960626,0.287655426,0.551288536
0,0.394648095,0.9962841,0.982305212,0.967664251,0.28068612,0.550897837
0,0.411669093,0.986829756,0.97910913,0.968800545,0.298521586,0.551221356
0,0.302771888,0.979135207,0.98211694,0.968803619,0.275810764,0.551773172
0,0.322674586,0.94731325,0.969528107,0.968938614,0.284667414,0.551018528
0,0.666197,0.997155104,0.983181371,0.968766846,0.274152496,0.551477687
0,0.389895673,1,0.971733057,0.967486356,0.434074113,0.551887601
0,0.425292474,0.980111121,0.972823599,0.978066566,0.291666213,0.551827871
0,0.431674763,0.982270011,0.946569318,0.96011512,0.193210442,0.551803719
0,0.174853784,0.958080951,0.974855802,0.968024772,0.247525268,0.551749616
0,0.394660266,0.955213877,0.974584795,0.967091992,0.245058717,0.551868715
0,0.372792745,0.963949535,0.973732024,0.967932104,0.250725882,0.551670732
0,0.380393111,0.959052805,0.974900527,0.968014758,0.266328743,0.551919011
0,0.403997598,0.9502702,0.974575555,0.967799677,0.257438522,0.551751926
0,0.450783448,0.946253991,0.974378437,0.968349245,0.252507448,0.548772184
0,0.266191937,0.964313271,0,0.9682248,0.281851343,0.551783402
0,0.488944758,0.980538598,0.981470394,0.968817662,0.304103573,0.551735907
0,0.338823319,0.947573745,0.98086421,0.967308033,0.26729182,0.551311938
0,0.318215687,0.939144986,0.980577293,0.968829872,0.276712916,0.5516895
0,0.314755375,0.952481298,0.993253652,0.97623839,0.283692301,0.551088811
0,0.330895049,0.929247548,0.97926009,0.969056491,0.248802478,0.55169161
0,0.432561964,0.933937148,0.974147179,0.969335646,0.287492576,0.551764274
0,0.305241073,0.964067957,0.979594889,0.969695883,0.278284059,0.55154016
0,0.341245385,0.878780965,0.974694077,0.968931144,0.293361854,0.551284177
0,0.346384789,0.942370783,0.975272747,0,0.275985786,0.551578822
0,0.345600277,0.919730788,0.958915931,0.968812072,0.267126156,0.550622131
0,0.34678538,0.892963531,0.992177345,0.968297665,0.273402618,0.551332049
0,0.345733193,0.958249748,0.969165506,0.967128479,0.264825603,0.551455742
0,0.341973326,0.94864482,0.956566383,0.968842389,0.256759536,0.55148813
0,0.335434057,0.917833599,0.97400809,0.955747886,0.256873887,0.551646456
0,0.338643031,0.905262982,0.973028117,0.969805406,0.274671165,0.551081714
0,0.342090147,0.886247022,0.975746072,0.968404204,0.287734399,0.550838266
0,0.34229459,0.885442087,0.984753179,0.968880218,0.332802337,0.550031643
0,0.342335807,0.81491844,0.974629757,0.968818536,0.275352267,0.55455633
0,0.343531581,0.87919492,0.975196747,0.969552547,0.263398996,0.551126426
0,0.332002716,0.910552551,0.980721192,0.969740669,0.276935798,0.551614564
0,0.5011167,0.968958848,0.980459146,0.968336645,0.277890754,0.551090546
0,0.256773732,0.984677519,0.981832927,0.969271784,0.272223904,0.551869066
0,0.32501429,0.9502369,0.957611444,0.968378999,0.264561223,0.551626211
0,0.327084719,0.936545481,0.989725602,0.970810217,0.273110789,0.551587393
0,0.317564362,0.956748128,0.981060883,0.96934448,0.273211392,0.551657205
0,0.330679852,0.942227351,0.980233216,0.968378478,0.141951319,0.551416616
0,0.330482252,0.920395949,0.979440491,0.968449586,0.255033543,0.551264448
0,0.329373326,0.871131633,0.979710863,0.967971386,0.272274586,0.55083252
0,0.338507611,0.960725856,0.979246715,0.968795346,0.279249049,0.546874163
0,0.336601899,0.936308901,0.973738667,0.968443463,0.290037827,0.551773882
0,0.328268009,0.929498943,0.980609417,0.968974829,0.276298652,0.551653876
0,0.340148533,0.924155478,0.988722378,0.968193226,0.266736687,0.551600573
0,0.335182811,0.907912974,0.960272996,0.967843394,0.288871792,0.551782651
0,0.33888387,0.953725984,0.980078518,0.96842139,0.274502577,0.551659481
0,0.463546458,0.965724405,0.978633767,0.969275303,0.276196191,0.551714046
0,0.254739464,0.967960465,0.978741689,0.967077846,0.276177252,0.550924079
0,0.322654497,0.943541082,0.978448541,0.970417049,0.286827466,0.551615793
0,0.337025346,0.946924812,0.983536931,0.971379921,0.304297681,0.550860753
0,0.301760149,0.946881334,0.979357494,0.968057025,0.288356617,0.55172354
0,0.294802699,0.949732615,0.945690267,0.96788572,0.267013993,0.54961248
0,0.277117313,0.948558355,0.981002807,1,0.25741953,0.551373396
0,0.326151101,0.93432832,0.9800123,0.970829006,0.260682357,0.551299317
0,0.530583797,0.953532046,0.981140643,0.968070482,0.263032197,0.551737354
0,0.397458553,0.944353416,0.980307488,0.967534947,0.233701437,0.551318315
0,0.390264087,0.942812252,0.983346494,0.96511682,0.256831988,0.551478116
0,0.406067729,0.946143997,0.978712273,0.970405713,0.286567902,0.550503534
0,0.368229219,0.948157088,0.979256821,0.969452032,0.230471375,0.551623709
0,0.472258331,0.953720609,0.978525964,0.968452409,0.283656515,0.549850693
0,0.304969007,0.951314326,0.978878819,0.967274646,0.298843602,0.55177542
0,0.320738338,0.970177314,0.978522639,0.967982889,0.269046733,0.550892516
0,0.344436491,0.729262513,0.971704035,0.968728764,0.275774387,0.551472834
0,0.347619331,0,0.984220711,0.968783323,0.269022273,0.55124328
0,0.347005789,0.924705807,0.980052463,0.968693247,0.263496938,0.55158766
0,0.344249438,0.962729468,0.986683101,0.964507162,0.282204125,0.55180559
0,0.343645205,0.961803952,0.980975771,0.967751546,0.319804857,0.551805309
